rainfall_24h,rainfall_forecast_24h,temperature,wind_speed,humidity,slope,road_type,month,historical_blockages,risk_level
5.3,14.8,19.9,8.8,72.1,15,1,10,6,0
34.7,24.5,26.6,31.7,75.6,8,0,6,7,1
24.7,26.2,18.6,8.3,92.2,8,1,9,10,1
69.0,93.2,21.2,10.7,88.4,35,1,9,0,2
101.4,98.7,25.7,15.9,90.8,22,1,7,7,2
0.2,0.0,21.9,13.2,52.5,32,1,4,2,0
114.9,120.0,25.9,20.2,90.5,8,1,9,10,2
20.1,24.6,13.5,70.0,85.1,30,1,5,8,1
11.0,11.6,21.6,18.0,82.0,18,1,10,2,0
2.0,9.7,12.9,6.9,41.4,18,0,1,1,0
43.1,36.4,22.2,16.7,97.0,8,0,8,5,1
38.9,52.1,25.4,61.0,86.0,35,1,7,1,2
13.5,12.1,18.0,34.2,79.2,22,1,6,4,0
19.4,14.8,18.1,8.6,100.0,10,0,8,3,0
68.4,38.3,23.9,21.6,89.1,32,1,7,15,2
18.3,23.1,22.5,4.7,67.8,32,1,5,6,1
4.9,9.1,10.9,15.4,63.7,32,1,3,3,0
43.6,39.2,15.3,17.4,81.6,18,1,8,10,1
0.5,8.9,8.3,2.8,66.8,10,1,3,3,0
7.3,8.6,8.7,23.2,79.6,15,0,5,10,0
43.2,52.3,22.4,61.9,82.6,12,0,8,3,1
3.0,10.3,10.7,17.9,46.9,38,1,3,16,1
38.2,20.9,19.9,36.5,90.9,30,1,9,11,2
17.4,15.8,24.0,14.1,100.0,22,1,6,16,1
9.5,1.1,15.4,23.0,74.0,32,1,12,13,1
11.0,2.2,27.3,70.0,96.7,10,1,6,16,1
54.2,56.7,17.7,13.2,85.6,8,0,8,2,1
126.8,88.5,23.2,7.0,78.3,25,1,7,10,2
7.6,10.3,18.9,43.2,56.0,12,0,2,2,0
5.9,4.1,18.0,18.8,41.6,25,1,3,7,0
10.9,14.9,15.0,7.3,45.9,32,1,4,11,1
2.7,0.0,20.4,9.7,48.1,25,1,1,6,0
3.3,2.0,25.0,8.5,49.6,18,0,3,6,0
54.5,41.4,29.0,4.9,74.1,25,1,10,10,1
34.6,39.9,23.8,17.9,82.6,28,1,8,0,2
0.4,0.0,12.2,6.3,68.2,12,0,2,1,0
11.2,12.3,24.4,13.7,98.5,12,0,9,9,0
27.3,36.9,25.7,70.0,99.6,30,1,8,13,2
2.1,11.9,14.4,7.7,44.6,18,0,3,17,0
1.1,0.0,23.5,18.9,58.0,30,1,3,6,0
65.6,45.8,23.3,54.9,88.2,8,0,8,2,1
18.5,26.4,28.8,21.1,72.8,25,1,9,10,1
53.3,51.7,21.2,34.0,81.2,12,0,8,11,2
14.4,8.0,11.4,3.6,82.2,38,1,5,5,1
87.9,76.5,28.7,5.1,82.0,25,1,8,5,2
4.4,1.5,19.1,10.7,82.3,25,1,3,10,0
71.0,50.4,21.3,32.7,84.4,28,1,6,12,2
12.1,10.9,21.5,21.4,89.5,18,0,7,12,0
71.8,79.8,17.0,13.1,90.8,15,0,6,0,2
31.5,43.1,15.6,42.1,85.0,32,1,6,6,2
0.4,2.5,5.0,15.1,58.1,30,1,4,2,0
7.0,7.6,16.8,5.0,64.3,15,0,4,12,0
12.1,5.4,22.4,14.5,79.0,18,1,9,0,0
4.1,5.4,14.4,5.0,69.5,12,0,11,6,0
17.3,5.0,19.1,39.2,81.5,25,1,8,7,1
46.3,51.7,22.3,16.0,77.9,38,1,9,14,2
31.6,32.7,22.1,34.6,82.2,22,1,7,1,1
6.1,5.7,27.7,4.3,71.4,22,1,5,19,1
0.3,2.9,18.5,8.9,70.6,10,0,1,13,0
120.9,120.0,19.3,20.5,97.5,18,1,9,8,2
61.5,86.2,20.9,70.0,91.9,10,0,8,3,2
14.6,16.4,27.6,66.5,90.1,28,1,8,9,1
10.0,4.9,25.1,14.7,100.0,35,1,10,1,1
37.5,34.0,24.8,8.4,73.3,18,0,5,13,1
6.2,14.8,16.6,3.5,55.6,18,0,4,11,0
32.0,31.3,22.5,7.4,78.6,28,1,8,1,1
25.8,26.0,27.5,17.9,96.1,15,0,9,0,1
114.9,120.0,26.4,10.4,90.2,25,1,8,2,2
80.9,74.5,19.9,29.2,87.3,35,1,7,4,2
99.7,120.0,26.3,36.8,93.3,10,1,6,8,1
3.2,0.6,8.4,5.6,69.4,30,1,1,0,0
50.4,73.9,19.4,5.6,88.6,8,1,9,9,2
12.0,19.9,21.9,7.6,92.3,15,0,3,12,0
14.9,25.0,22.5,4.7,65.3,18,0,10,10,0
57.8,65.7,21.6,13.1,86.5,22,1,8,0,2
131.2,120.0,17.0,10.9,88.7,8,0,6,3,1
68.2,61.8,23.5,14.1,86.6,10,0,6,2,1
82.4,95.6,15.9,14.9,94.7,28,1,7,9,2
125.0,61.8,20.1,10.4,89.2,8,0,9,10,2
28.7,25.4,20.0,6.3,86.2,38,1,6,10,2
31.7,32.8,22.8,42.2,94.1,30,1,6,2,2
3.8,2.3,16.8,5.5,92.1,8,0,2,8,0
53.9,61.8,29.4,10.8,82.0,15,1,8,6,2
86.5,84.5,15.0,13.4,100.0,28,1,9,5,2
23.2,23.5,27.2,12.5,99.2,8,0,7,4,0
20.2,39.6,20.2,7.7,84.2,22,1,8,18,2
0.2,0.1,16.4,5.4,79.2,35,1,1,2,0
88.8,117.3,23.8,13.8,92.2,10,0,6,8,2
26.4,9.8,17.0,66.1,81.1,25,1,9,5,1
2.9,0.0,16.3,52.9,63.5,25,1,4,9,0
10.9,15.9,23.0,18.7,91.7,32,1,6,2,1
7.9,5.5,11.0,41.6,73.5,25,1,3,5,0
25.4,25.4,34.3,22.1,72.3,38,1,5,6,1
48.9,40.1,21.2,45.2,92.7,25,1,9,16,2
58.7,22.6,18.1,34.4,77.0,15,0,8,17,2
67.6,38.4,24.1,29.3,91.4,30,1,8,10,2
35.1,31.7,21.3,14.4,82.0,8,0,9,2,1
0.4,0.0,19.3,2.8,77.5,28,1,11,1,0
14.9,19.4,21.4,47.6,93.6,15,0,6,3,1
4.6,0.0,20.0,24.0,30.0,25,1,12,9,1
27.0,36.1,24.4,3.5,100.0,30,1,5,4,1
17.6,5.7,26.5,5.0,83.0,15,1,6,1,1
1.4,1.8,14.1,6.5,56.4,15,1,1,4,0
17.6,15.1,29.9,6.9,89.2,8,0,10,11,0
7.2,15.0,11.7,3.1,72.7,30,1,11,9,0
3.5,0.0,16.7,6.6,53.9,30,1,11,6,0
21.5,20.2,20.9,25.4,90.9,25,1,9,4,1
53.3,68.7,19.0,9.0,85.4,18,0,8,2,1
63.5,58.8,21.1,17.2,80.0,18,0,6,9,2
3.7,9.6,13.7,16.8,65.3,10,0,11,12,0
1.5,0.9,23.9,9.3,51.1,18,0,3,0,0
144.9,76.8,23.0,32.3,69.8,15,0,8,3,2
57.6,27.5,24.1,6.4,88.4,18,0,7,3,1
64.8,44.4,26.6,13.8,78.6,18,1,8,4,1
19.1,16.6,11.5,33.7,73.4,22,1,10,3,1
8.3,21.7,14.4,15.2,76.6,8,1,8,19,1
28.9,18.8,15.6,15.3,91.7,25,1,9,1,1
1.1,1.5,21.4,39.9,52.3,22,1,12,11,0
41.7,46.9,22.0,5.2,100.0,8,0,8,16,2
15.2,18.2,23.1,15.1,87.8,28,1,8,2,1
108.1,56.5,19.4,14.0,98.6,30,1,6,16,2
31.2,13.6,25.6,24.2,82.3,35,1,7,2,1
1.0,0.0,15.6,32.0,81.9,25,1,5,6,0
55.4,46.3,25.7,32.3,85.1,12,0,7,3,1
9.5,0.0,22.0,14.5,93.7,32,1,9,14,1
64.7,42.7,26.2,11.0,84.0,10,1,8,0,1
21.4,15.2,17.7,9.7,79.3,8,1,7,18,1
64.4,54.1,17.2,27.4,84.3,18,1,8,13,2
29.3,36.3,22.3,27.2,81.5,12,1,9,8,1
1.5,7.0,12.0,16.2,60.4,22,1,2,5,0
56.1,49.2,22.9,28.5,92.0,32,1,9,4,2
9.7,16.6,22.7,15.0,81.3,22,1,5,5,0
54.1,28.8,15.9,27.0,85.1,32,1,9,8,2
3.5,3.1,19.6,18.1,34.2,10,1,2,2,0
85.2,116.0,24.7,20.3,77.1,32,1,6,16,2
4.0,0.0,9.9,11.7,74.6,18,0,2,12,0
47.1,21.9,24.2,23.5,86.8,28,1,7,9,2
50.7,36.9,15.3,70.0,88.3,12,1,7,2,2
51.1,39.5,16.0,9.1,82.8,22,1,8,4,2
133.1,74.1,20.9,21.5,100.0,15,0,8,18,2
55.1,51.0,24.6,41.2,75.7,38,1,8,2,2
6.7,11.2,10.0,14.1,49.6,8,0,11,3,0
2.5,11.9,21.4,39.7,47.8,10,0,11,6,1
11.1,19.1,26.3,12.2,83.1,10,0,10,15,0
1.4,0.0,12.5,2.6,50.0,22,1,1,11,0
22.0,31.9,23.9,53.6,76.8,25,1,8,11,2
9.9,15.1,26.3,10.6,100.0,18,1,7,10,1
39.8,39.9,13.9,23.9,83.6,22,1,7,0,1
11.8,21.2,23.0,14.5,85.0,28,1,7,4,1
0.4,4.2,20.0,18.8,51.7,15,0,4,3,0
22.5,31.6,19.3,49.1,96.0,38,1,7,4,2
116.7,75.6,13.4,17.6,90.9,28,1,7,14,2
32.5,19.9,18.0,26.3,92.3,12,0,8,2,2
28.5,15.3,23.7,12.9,86.3,22,1,8,9,1
2.5,0.3,24.1,7.4,85.1,18,0,2,10,0
3.5,4.8,23.5,9.6,63.0,10,0,4,2,0
16.4,7.0,5.0,2.2,77.6,30,1,5,1,1
48.4,42.7,22.5,36.0,87.6,15,1,7,6,1
84.3,54.6,26.9,46.8,84.3,12,0,9,15,2
121.9,120.0,19.3,34.3,73.0,12,0,7,5,2
58.0,73.2,21.2,5.1,100.0,32,1,7,12,2
7.3,11.4,22.7,18.2,46.3,28,1,2,9,0
1.1,1.8,20.1,16.2,62.6,25,1,4,10,0
38.2,32.2,25.7,9.1,79.3,12,0,7,16,1
8.2,3.3,21.1,17.9,85.3,15,0,5,4,0
19.1,8.1,24.8,21.3,94.8,32,1,8,12,1
8.4,1.1,15.2,5.0,74.3,8,1,5,3,0
5.5,7.9,16.2,57.6,64.0,15,0,1,1,1
64.4,89.0,21.6,7.5,84.0,8,0,6,12,2
41.8,24.6,27.3,30.9,96.6,25,1,6,14,2
150.0,120.0,18.7,9.7,100.0,25,1,7,16,2
30.5,48.7,25.5,21.2,87.5,28,1,6,10,1
0.9,0.0,24.7,12.5,72.9,15,0,11,9,0
6.1,10.6,20.8,3.9,78.6,32,1,4,13,1
31.5,24.9,15.4,50.8,92.3,25,1,7,9,2
0.2,1.1,13.5,23.3,64.0,12,1,2,15,0
27.9,45.7,23.2,16.3,88.6,32,1,8,1,2
18.5,23.4,13.5,2.7,52.1,22,1,2,4,0
0.8,0.0,7.8,18.0,54.4,15,0,4,3,0
13.3,10.5,14.7,3.6,83.8,10,0,5,7,0
59.7,62.7,17.3,22.6,88.1,15,0,7,1,1
61.6,65.3,20.7,20.4,97.0,32,1,6,4,2
150.0,120.0,21.8,29.4,76.8,22,1,9,7,2
76.9,71.5,20.9,7.4,90.1,25,1,6,7,2
15.8,12.1,19.3,4.0,64.0,15,0,5,3,0
111.1,117.2,18.0,33.8,82.3,25,1,6,14,2
5.6,2.9,20.5,4.9,56.3,15,0,4,15,0
51.6,45.9,21.0,17.0,80.5,12,1,8,6,1
15.6,11.2,19.9,36.6,99.1,12,0,9,3,0
51.6,48.9,22.0,5.6,71.3,32,1,7,2,2
8.0,13.5,8.9,3.9,82.5,18,1,5,5,0
7.4,8.9,29.1,28.5,52.3,8,1,3,7,0
6.6,8.9,21.0,5.1,77.0,25,1,5,10,0
120.6,120.0,18.1,64.5,95.0,38,1,9,4,2
2.9,9.6,24.0,29.4,54.4,12,0,2,16,0
4.5,2.7,20.9,9.0,57.8,28,1,4,12,0
98.5,115.7,24.5,14.5,79.1,18,1,7,15,2
46.5,29.5,17.8,15.1,89.8,15,0,6,4,1
8.6,17.6,20.9,28.8,93.7,28,1,7,17,1
55.4,52.2,24.0,7.0,79.0,10,1,7,3,1
14.3,26.8,15.0,55.1,92.7,32,1,8,19,2
2.8,0.3,29.3,4.6,43.0,25,1,11,5,0
29.7,28.9,19.7,9.2,96.3,10,0,9,7,1
15.3,16.3,5.0,5.6,76.9,22,1,5,0,0
19.3,30.6,28.9,6.3,92.0,18,0,6,9,1
9.9,16.2,20.7,35.3,75.5,15,0,8,5,0
39.0,41.8,20.5,36.6,85.2,8,0,8,2,1
19.3,24.8,24.8,22.9,99.7,22,1,7,10,1
63.8,82.3,26.8,15.2,89.1,18,1,8,3,2
31.4,32.6,21.7,10.7,87.2,30,1,7,5,1
110.7,120.0,22.3,24.4,85.3,28,1,9,2,2
16.8,2.4,25.6,3.7,72.0,30,1,5,15,1
0.1,0.0,11.2,4.7,64.1,8,1,3,18,0
39.7,26.9,25.9,2.3,73.2,30,1,5,4,1
138.4,107.4,17.9,47.2,95.5,18,0,6,1,2
61.8,44.3,18.4,12.4,93.4,8,0,9,6,1
29.6,27.9,24.4,8.0,93.7,10,0,6,5,0
2.7,0.0,24.4,23.5,92.2,35,1,8,4,1
23.1,29.0,25.9,14.1,92.2,10,1,7,5,1
22.8,18.0,26.5,20.5,84.7,22,1,6,9,1
25.3,37.8,25.7,19.6,92.3,30,1,7,0,1
11.0,11.7,13.9,16.5,67.0,10,0,2,18,0
27.3,27.8,28.5,20.4,95.3,18,0,9,12,1
21.8,28.6,18.0,39.1,85.7,35,1,8,5,1
0.4,0.0,18.5,7.6,56.7,25,1,1,2,0
118.6,120.0,29.8,17.5,74.7,35,1,8,6,2
22.7,32.4,22.4,25.3,89.2,28,1,8,17,2
1.6,7.1,26.6,11.0,74.0,25,1,1,5,0
8.9,6.4,13.4,7.1,63.4,30,1,3,12,1
6.2,11.2,18.8,33.6,67.3,10,0,1,5,0
11.5,23.2,21.9,18.7,90.2,32,1,6,20,1
20.0,24.1,26.6,11.8,90.7,10,0,9,10,1
82.2,96.4,17.3,5.5,91.6,15,0,9,9,2
11.6,19.9,14.1,9.8,77.0,25,1,5,3,0
11.4,9.1,18.6,22.1,79.4,35,1,9,13,1
28.7,30.7,18.3,19.6,93.6,8,0,8,1,1
27.6,23.5,20.9,14.6,100.0,35,1,8,3,1
129.5,73.2,13.5,8.2,71.5,18,0,7,15,2
46.6,50.0,22.7,60.6,92.1,10,0,6,9,2
17.0,17.7,19.1,9.2,88.6,25,1,6,15,1
67.7,35.8,25.4,14.1,89.1,15,0,6,2,1
21.7,33.3,23.3,6.5,100.0,32,1,8,12,2
0.7,0.0,20.6,10.7,30.0,35,1,11,10,0
105.7,120.0,20.4,15.4,77.9,8,0,9,16,2
9.3,19.9,20.0,6.4,87.1,30,1,5,8,1
65.7,60.3,24.3,21.7,92.6,25,1,8,3,2
30.5,29.2,21.6,8.2,81.6,12,0,9,5,1
30.8,41.3,17.3,6.2,89.0,25,1,7,15,2
0.2,0.0,30.6,2.5,67.2,38,1,11,14,1
0.9,0.8,11.6,4.8,63.8,10,0,2,8,0
44.2,44.3,20.6,12.4,87.5,12,0,8,17,2
21.1,18.7,26.2,19.3,94.5,8,0,8,5,0
1.4,1.7,15.0,7.1,67.1,18,1,12,3,0
54.3,60.8,23.9,41.2,89.3,10,0,6,8,2
150.0,120.0,18.0,8.1,85.7,38,1,7,15,2
1.2,0.0,30.4,7.4,73.7,25,1,12,2,0
33.8,33.3,21.8,32.3,86.7,25,1,7,4,1
70.4,72.6,21.9,10.5,100.0,22,1,7,4,2
46.9,43.5,18.4,22.7,87.5,25,1,6,6,1
3.5,9.5,19.1,11.1,72.0,30,1,10,16,1
6.7,11.6,21.1,10.9,56.7,18,0,5,1,0
14.1,19.4,26.7,33.8,100.0,28,1,7,10,1
6.4,0.0,20.0,5.0,57.3,12,0,12,14,0
24.7,27.1,15.2,9.2,88.3,35,1,8,4,1
60.5,54.6,23.5,28.5,81.4,25,1,9,3,2
32.4,37.9,16.3,10.6,92.8,35,1,6,5,2
29.9,40.4,9.0,2.6,63.4,22,1,10,2,1
75.4,57.7,23.7,26.1,89.2,15,0,6,9,2
1.9,4.3,17.2,12.9,64.1,30,1,3,13,1
71.1,89.9,26.6,10.2,87.5,8,1,6,7,2
23.2,24.7,24.4,17.9,81.2,25,1,6,6,1
45.4,66.8,26.2,13.1,90.9,10,0,9,15,2
40.3,33.2,21.4,31.9,90.5,18,0,8,0,1
2.3,3.4,5.2,7.8,60.2,22,1,12,2,0
7.8,13.8,8.2,17.4,57.1,12,1,5,9,0
25.4,30.2,15.3,70.0,94.3,18,0,7,3,1
9.2,11.7,13.7,3.3,80.2,8,1,5,16,1
3.6,10.2,9.2,14.7,58.7,32,1,3,5,0
42.1,55.3,23.1,16.9,87.8,38,1,8,12,2
150.0,84.7,27.2,5.1,76.6,32,1,7,5,2
1.8,0.0,19.4,5.4,44.1,18,0,1,15,0
16.2,22.7,20.7,11.4,80.6,30,1,7,2,1
0.4,0.0,20.9,9.9,54.4,8,1,3,3,0
9.6,12.8,18.4,29.3,58.0,15,0,4,5,0
19.9,14.4,22.1,33.7,72.3,30,1,7,9,1
10.8,7.9,21.5,8.6,92.5,10,1,7,2,0
59.1,66.0,20.5,55.1,85.4,35,1,6,15,2
9.2,0.5,27.3,7.9,97.9,18,0,9,3,0
48.0,59.4,26.4,9.1,84.3,22,1,6,13,2
10.8,3.5,24.9,2.6,43.3,18,0,3,2,0
12.1,9.1,11.6,5.7,59.5,35,1,3,2,0
25.8,43.4,32.5,4.2,64.0,30,1,5,5,1
49.5,19.8,21.0,9.6,74.6,30,1,8,16,2
122.9,120.0,21.0,20.1,93.5,18,0,6,14,2
111.5,120.0,23.7,14.0,91.0,8,0,9,10,2
28.2,20.8,28.5,9.1,96.1,22,1,8,3,1
118.8,111.6,22.2,27.1,95.6,15,0,8,2,2
0.2,4.1,10.9,20.3,45.8,30,1,1,9,0
141.2,119.7,19.7,46.0,89.6,10,0,9,13,2
39.5,35.9,23.7,8.6,78.3,28,1,6,8,1
4.0,2.0,24.7,13.0,76.9,18,1,5,11,0
11.5,12.3,19.2,18.7,100.0,12,0,7,9,0
104.8,120.0,24.3,22.6,79.6,25,1,8,7,2
29.6,48.2,18.9,15.4,91.5,18,1,6,16,2
47.5,37.8,24.4,5.2,86.1,25,1,6,11,2
18.0,11.5,21.6,8.6,50.9,10,1,3,3,0
52.5,55.9,26.7,10.5,86.3,18,0,7,6,2
20.5,8.5,21.0,31.2,90.2,28,1,7,4,1
38.2,34.9,24.1,6.0,86.2,22,1,7,16,2
16.9,26.4,33.3,6.9,99.0,8,0,7,17,1
4.4,0.0,23.8,12.5,57.2,35,1,3,9,0
26.1,26.9,26.2,8.7,86.7,12,0,6,0,0
25.3,26.0,20.8,31.4,85.1,18,0,7,0,1
77.5,79.4,25.0,36.8,79.2,35,1,9,4,2
69.3,56.0,24.6,6.2,94.5,18,0,8,4,2
63.8,54.5,27.4,41.7,82.6,30,1,8,5,2
52.0,23.6,21.0,8.3,72.9,18,0,7,1,1
8.4,18.3,13.9,7.3,72.6,28,1,10,10,0
2.7,2.7,19.5,10.7,65.8,30,1,12,14,1
36.4,39.8,21.9,19.4,95.9,12,1,7,8,2
21.4,28.0,18.2,7.5,83.2,15,1,7,7,1
2.0,0.0,17.6,24.2,81.8,38,1,4,1,2
7.9,2.4,20.1,16.4,90.9,25,1,6,6,2
7.2,16.4,5.0,8.5,70.7,35,1,1,5,0
54.2,50.3,19.5,5.3,64.1,15,0,10,20,2
0.8,0.0,18.4,5.8,56.9,38,1,3,17,1
84.2,107.7,20.7,10.4,88.2,22,1,7,10,2
1.7,0.0,23.1,3.9,90.1,12,0,12,10,0
4.7,3.9,14.3,6.9,66.1,18,0,12,12,0
36.9,44.6,19.1,17.6,89.3,22,1,9,18,2
16.6,33.7,28.5,13.4,93.0,10,0,9,5,1
60.6,49.1,16.2,36.0,56.1,22,1,5,10,1
2.8,0.0,16.6,17.2,79.4,15,0,8,4,0
32.1,51.5,17.6,27.7,81.8,28,1,7,1,1
25.1,14.3,21.4,9.4,97.6,10,1,8,1,1
44.8,23.1,18.8,9.3,100.0,12,0,6,5,1
8.1,2.4,16.8,5.1,54.4,22,1,11,12,0
29.3,24.6,20.7,5.2,74.2,28,1,9,12,1
21.1,21.3,24.7,21.9,78.8,35,1,9,2,1
20.7,22.0,22.8,20.2,90.6,8,0,7,7,1
13.7,21.8,11.4,28.3,73.9,32,1,5,11,1
73.1,50.1,23.8,20.5,83.2,22,1,9,0,2
2.9,12.8,11.4,13.8,61.6,30,1,3,2,0
10.5,5.9,17.5,12.5,61.9,25,1,4,1,0
1.5,1.8,13.9,30.6,42.8,25,1,2,14,0
6.7,0.0,25.3,62.6,49.2,35,1,3,0,1
82.8,117.4,27.3,7.5,98.6,28,1,8,19,2
8.7,9.6,29.4,6.0,79.5,35,1,7,9,1
21.8,6.3,13.2,25.7,85.3,28,1,7,11,1
17.8,14.6,23.1,44.9,73.8,8,0,6,13,1
81.4,49.4,16.6,6.9,89.8,35,1,7,13,2
9.3,11.7,5.9,3.0,65.8,12,0,2,3,1
